"NewsDesk.nb" "NewsDesk" "SectionName.nb" "SectionName" "SubsectionName.nb" "SubsectionName" "Headline.pfx" "Popular.fctr" ".n"
"Foreign" "Foreign" "World" "World" "Asia Pacific" "Asia Pacific" "myMisc::" "N" 200
"Foreign" "Foreign" "World" "World" "Asia Pacific" "Asia Pacific" "myMisc::" "Y" 3
"Foreign" "Foreign" "World" "World" "Asia Pacific" "Asia Pacific" "myMisc::" NA 55
"Foreign" "Foreign" "World" "World" "Foreign::World" "" "myMisc::" "N" 9
"Foreign" "Foreign" "World" "World" "Foreign::World" "" "myMisc::" NA 1
"Magazine" "Magazine" "Magazine" "Magazine" "Magazine::Magazine" "" "myMisc::" "N" 31
"Magazine" "Magazine" "Magazine" "Magazine" "Magazine::Magazine" "" "myMisc::" NA 3
"Metro" "Metro" "N.Y. / Region" "N.Y. / Region" "Metro::N.Y. / Region" "" ".*Fashion Week::" "N" 1
"Metro" "Metro" "N.Y. / Region" "N.Y. / Region" "Metro::N.Y. / Region" "" "myMisc::" "N" 121
"Metro" "Metro" "N.Y. / Region" "N.Y. / Region" "Metro::N.Y. / Region" "" "myMisc::" "Y" 14
"Metro" "Metro" "N.Y. / Region" "N.Y. / Region" "Metro::N.Y. / Region" "" "myMisc::" NA 43
"Metro" "Metro" "N.Y. / Region" "N.Y. / Region" "Metro::N.Y. / Region" "" "New York Today::" "N" 59
"Metro" "Metro" "N.Y. / Region" "N.Y. / Region" "Metro::N.Y. / Region" "" "New York Today::" "Y" 3
"Metro" "Metro" "N.Y. / Region" "N.Y. / Region" "Metro::N.Y. / Region" "" "New York Today::" NA 20
"Metro" "Metro" "N.Y. / Region" "N.Y. / Region" "Metro::N.Y. / Region" "" "Pictures of the (Day|Year|.)::" NA 1
"myMisc::" "" "Arts" "Arts" "myMisc::Arts" "" "myMisc::" NA 11
"myMisc::" "" "Business Day" "Business Day" "Dealbook" "Dealbook" "myMisc::" NA 13
"myMisc::" "" "Business Day" "Business Day" "Small Business" "Small Business" "myMisc::" "N" 1
"myMisc::" "" "Business Day" "Business Day" "Small Business" "Small Business" "myMisc::" NA 3
"myMisc::" "" "Crosswords/Games" "Crosswords/Games" "myMisc::Crosswords/Games" "" "myMisc::" "N" 1
"myMisc::" "" "Crosswords/Games" "Crosswords/Games" "myMisc::Crosswords/Games" "" "myMisc::" NA 4
"myMisc::" "" "Health" "Health" "myMisc::Health" "" "myMisc::" "Y" 1
"myMisc::" "" "Multimedia" "Multimedia" "myMisc::Multimedia" "" "myMisc::" "N" 86
"myMisc::" "" "Multimedia" "Multimedia" "myMisc::Multimedia" "" "myMisc::" "Y" 2
"myMisc::" "" "Multimedia" "Multimedia" "myMisc::Multimedia" "" "myMisc::" NA 30
"myMisc::" "" "myMisc::" "" "myMisc::myMisc::" "" "myMisc::" "N" 920
"myMisc::" "" "myMisc::" "" "myMisc::myMisc::" "" "myMisc::" "Y" 115
"myMisc::" "" "myMisc::" "" "myMisc::myMisc::" "" "myMisc::" NA 256
"myMisc::" "" "N.Y. / Region" "N.Y. / Region" "myMisc::N.Y. / Region" "" "myMisc::" NA 2
"myMisc::" "" "Open" "Open" "myMisc::Open" "" "myMisc::" "N" 4
"myMisc::" "" "Open" "Open" "myMisc::Open" "" "myMisc::" NA 1
"myMisc::" "" "Opinion" "Opinion" "myMisc::Opinion" "" "myMisc::" "N" 4
"myMisc::" "" "Opinion" "Opinion" "myMisc::Opinion" "" "myMisc::" "Y" 1
"myMisc::" "" "Opinion" "Opinion" "myMisc::Opinion" "" "myMisc::" NA 5
"myMisc::" "" "Opinion" "Opinion" "Room For Debate" "Room For Debate" "myMisc::" "N" 61
"myMisc::" "" "Opinion" "Opinion" "Room For Debate" "Room For Debate" "myMisc::" "Y" 1
"myMisc::" "" "Opinion" "Opinion" "Room For Debate" "Room For Debate" "myMisc::" NA 20
"myMisc::" "" "Opinion" "Opinion" "The Public Editor" "The Public Editor" "myMisc::" "N" 4
"myMisc::" "" "Opinion" "Opinion" "The Public Editor" "The Public Editor" "myMisc::" "Y" 16
"myMisc::" "" "Opinion" "Opinion" "The Public Editor" "The Public Editor" "myMisc::" NA 10
"myMisc::" "" "Technology" "Technology" "myMisc::Technology" "" "myMisc::" NA 1
"myMisc::" "" "Travel" "Travel" "myMisc::Travel" "" "myMisc::" "N" 1
"myMisc::" "" "Travel" "Travel" "myMisc::Travel" "" "myMisc::" NA 4
"myMisc::" "" "U.S." "U.S." "Education" "Education" "myMisc::" "N" 142
"myMisc::" "" "U.S." "U.S." "Education" "Education" "myMisc::" NA 40
"myMisc::" "" "U.S." "U.S." "myMisc::U.S." "" "myMisc::" "N" 1
"myMisc::" "" "U.S." "U.S." "myMisc::U.S." "" "myMisc::" NA 2
"myMisc::" "" "World" "World" "Asia Pacific" "Asia Pacific" "myMisc::" NA 1
"National" "National" "National" "" "National::National" "" "myMisc::" "N" 2
"National" "National" "U.S." "U.S." "Politics" "Politics" "myMisc::" "N" 2
"New York Today::" "" "N.Y. / Region" "N.Y. / Region" "New York Today::N.Y. / Region" "" "New York Today::" NA 1
"OpEd" "OpEd" "Opinion" "" "OpEd::Opinion" "" "myMisc::" "Y" 1
"OpEd" "OpEd" "Opinion" "" "OpEd::Opinion" "" "myMisc::" NA 18
"OpEd" "OpEd" "Opinion" "Opinion" "OpEd::Opinion" "" "myMisc::" "N" 109
"OpEd" "OpEd" "Opinion" "Opinion" "OpEd::Opinion" "" "myMisc::" "Y" 407
"OpEd" "OpEd" "Opinion" "Opinion" "OpEd::Opinion" "" "myMisc::" NA 140
"OpEd" "OpEd" "Opinion" "Opinion" "OpEd::Opinion" "" "What We're::" "N" 4
"OpEd" "OpEd" "Opinion" "Opinion" "OpEd::Opinion" "" "What We're::" NA 1
"Pictures of the (Day|Year|.)::" "" "Multimedia" "Multimedia" "Pictures of the (Day|Year|.)::Multimedia" "" "Pictures of the (Day|Year|.)::" "N" 53
"Pictures of the (Day|Year|.)::" "" "Multimedia" "Multimedia" "Pictures of the (Day|Year|.)::Multimedia" "" "Pictures of the (Day|Year|.)::" NA 22
"Science" "Science" "Health" "Health" "Science::Health" "" "myMisc::" "N" 73
"Science" "Science" "Health" "Health" "Science::Health" "" "myMisc::" "Y" 119
"Science" "Science" "Health" "Health" "Science::Health" "" "myMisc::" NA 55
"Science" "Science" "Science" "" "Science::Science" "" "myMisc::" "Y" 2
"Science" "Science" "Science" "" "Science::Science" "" "myMisc::" NA 2
"Sports" "Sports" "Sports" "" "Sports::Sports" "" "myMisc::" "N" 1
"Sports" "Sports" "Sports" "Sports" "Sports::Sports" "" "myMisc::" "N" 1
"Styles" "Styles" "Health" "Health" "Styles::Health" "" "myMisc::" "N" 1
"Styles" "Styles" "Style" "Style" "Fashion & Style" "Fashion & Style" "myMisc::" "N" 2
"Styles" "Styles" "Styles" "" "Styles::Styles" "" ".*Fashion Week::" "N" 46
"Styles" "Styles" "Styles" "" "Styles::Styles" "" ".*Fashion Week::" NA 1
"Styles" "Styles" "Styles" "" "Styles::Styles" "" "myMisc::" "N" 70
"Styles" "Styles" "Styles" "" "Styles::Styles" "" "myMisc::" "Y" 1
"Styles" "Styles" "Styles" "" "Styles::Styles" "" "myMisc::" NA 14
"Styles" "Styles" "U.S." "U.S." "Styles::U.S." "" "myMisc::" "N" 77
"Styles" "Styles" "U.S." "U.S." "Styles::U.S." "" "myMisc::" "Y" 100
"Styles" "Styles" "U.S." "U.S." "Styles::U.S." "" "myMisc::" NA 61
"Test Yourself::" "" "U.S." "U.S." "Education" "Education" "Test Yourself::" "N" 61
"Test Yourself::" "" "U.S." "U.S." "Education" "Education" "Test Yourself::" NA 17
"The Daily Gift::" "" "The Daily Gift::" "" "The Daily Gift::The Daily Gift::" "" "The Daily Gift::" "N" 1
"The Daily Gift::" "" "The Daily Gift::" "" "The Daily Gift::The Daily Gift::" "" "The Daily Gift::" NA 2
"Today in (Politics|Small Business)::" "" "Business Day" "Business Day" "Small Business" "Small Business" "Today in (Politics|Small Business)::" NA 1
"Today in (Politics|Small Business)::" "" "Today in (Politics|Small Business)::" "" "Today in (Politics|Small Business)::Today in (Politics|Small Business)::" "" "Today in (Politics|Small Business)::" "N" 44
"Today in (Politics|Small Business)::" "" "Today in (Politics|Small Business)::" "" "Today in (Politics|Small Business)::Today in (Politics|Small Business)::" "" "Today in (Politics|Small Business)::" NA 21
"Travel" "Travel" "Travel" "Travel" "Travel::Travel" "" "myMisc::" "N" 115
"Travel" "Travel" "Travel" "Travel" "Travel::Travel" "" "myMisc::" "Y" 1
"Travel" "Travel" "Travel" "Travel" "Travel::Travel" "" "myMisc::" NA 31
"TStyle" "TStyle" "TStyle" "" "TStyle::TStyle" "" ".*Fashion Week::" "N" 136
"TStyle" "TStyle" "TStyle" "" "TStyle::TStyle" "" "myMisc::" "N" 554
"TStyle" "TStyle" "TStyle" "" "TStyle::TStyle" "" "myMisc::" "Y" 9
"TStyle" "TStyle" "TStyle" "" "TStyle::TStyle" "" "myMisc::" NA 83
"TStyle" "TStyle" "TStyle" "" "TStyle::TStyle" "" "The Daily Gift::" "N" 25
"TStyle" "TStyle" "TStyle" "" "TStyle::TStyle" "" "The Daily Gift::" NA 22
"Verbatim::" "" "Verbatim::" "" "Verbatim::Verbatim::" "" "Verbatim::" "N" 33
"Verbatim::" "" "Verbatim::" "" "Verbatim::Verbatim::" "" "Verbatim::" NA 12
"What We're::" "" "What We're::" "" "What We're::What We're::" "" "What We're::" "N" 41
"What We're::" "" "What We're::" "" "What We're::What We're::" "" "What We're::" NA 11
"Word of the Day::" "" "U.S." "U.S." "Education" "Education" "Word of the Day::" "N" 61
"Word of the Day::" "" "U.S." "U.S." "Education" "Education" "Word of the Day::" NA 17
